	Name	Brand	Price	Old Price	Url	Category	Family	Section
0	Evolve II Triclimate Jacket	The North Face 	160.00 €	200.00 €	/the-north-face-evolve-ii-triclimate-jacket/p-44527?idvariedad=179712&opt=d	Caquetas	Impermeables	Hombre
1	Beta AR Jacket	Arc'teryx 	440.00 €	550.00 €	/arcteryx-beta-ar-jacket/p-80305?idvariedad=321250&opt=d	Caquetas	Impermeables	Hombre
2	Alpha AR Jacket	Arc'teryx 	464.00 €	580.00 €	/arcteryx-alpha-ar-jacket/p-58710?idvariedad=285656&opt=d	Caquetas	Impermeables	Hombre
3	Core Evo Jacket	Montura 	300.10 €	478.50 €	/montura-core-evo-jacket/p-73141?idvariedad=295967&opt=d	Caquetas	Impermeables	Hombre
4	Beta AR Jacket	Arc'teryx 	550.00 €	550.00 €	/arcteryx-beta-ar-jacket/p-89624?idvariedad=366088&opt=d	Caquetas	Impermeables	Hombre
5	Core Evo Jacket	Montura 	300.00 €	500.00 €	/montura-core-evo-jacket/p-96187?idvariedad=389399&opt=d	Caquetas	Impermeables	Hombre
6	Beta SL Hybrid Jacket	Arc'teryx 	304.00 €	380.00 €	/arcteryx-beta-sl-hybrid-jacket/p-78078?idvariedad=310375&opt=d	Caquetas	Impermeables	Hombre
7	Beta AR Jacket	Arc'teryx 	440.00 €	550.00 €	/arcteryx-beta-ar-jacket/p-80134?idvariedad=320736&opt=d	Caquetas	Impermeables	Hombre
8	Core Evo Jacket	Montura 	300.00 €	500.00 €	/montura-core-evo-jacket/p-96188?idvariedad=389400&opt=d	Caquetas	Impermeables	Hombre
9	Hyperair GTX Trail Jkt	The North Face 	214.40 €	300.00 €	/the-north-face-hyperair-gtx-trail-jkt/p-71659?idvariedad=288897&opt=d	Caquetas	Impermeables	Hombre
10	Resolve Insulated Jacket	The North Face 	107.95 €	160.00 €	/the-north-face-resolve-insulated-jacket/p-36448?idvariedad=144550&opt=d	Caquetas	Impermeables	Hombre
11	Kabru Triclimate	The North Face 	252.00 €	280.00 €	/the-north-face-kabru-triclimate/p-90443?idvariedad=369469&opt=d	Caquetas	Impermeables	Hombre
12	Downpour Jacket	Rab 	129.95 €	129.95 €	/rab-downpour-jacket/p-94304?idvariedad=383633&opt=d	Caquetas	Impermeables	Hombre
13	Kinetic Plus Jkt	Rab 	159.96 €	199.95 €	/rab-kinetic-plus-jkt/p-80339?idvariedad=321577&opt=d	Caquetas	Impermeables	Hombre
14	Impendor Shell Jacket	The North Face 	378.00 €	420.00 €	/the-north-face-impendor-shell-jacket/p-90456?idvariedad=369520&opt=d	Caquetas	Impermeables	Hombre
15	Beta LT Jacket	Arc'teryx 	306.45 €	500.00 €	/arcteryx-beta-lt-jacket/p-72540?idvariedad=293567&opt=d	Caquetas	Impermeables	Hombre
16	Energy Star Jacket	Montura 	289.00 €	289.00 €	/montura-energy-star-jacket/p-94131?idvariedad=382798&opt=d	Caquetas	Impermeables	Hombre
17	Evolve II Triclimate Jacket	The North Face 	193.50 €	215.00 €	/the-north-face-evolve-ii-triclimate-jacket/p-90473?idvariedad=369584&opt=d	Caquetas	Impermeables	Hombre
18	Core Evo Jacket	Montura 	300.00 €	500.00 €	/montura-core-evo-jacket/p-96186?idvariedad=389396&opt=d	Caquetas	Impermeables	Hombre
19	Lostmor GTX Jkt	Ternua 	240.00 €	399.95 €	/ternua-lostmor-gtx-jkt/p-89576?idvariedad=365836&opt=d	Caquetas	Impermeables	Hombre
20	Torrentshell Jacket	Patagonia 	95.95 €	140.00 €	/patagonia-torrentshell-jacket/p-70819?idvariedad=286855&opt=d	Caquetas	Impermeables	Hombre
21	Refugitive Jacket	Patagonia 	405.00 €	450.00 €	/patagonia-refugitive-jacket/p-89687?idvariedad=366335&opt=d	Caquetas	Impermeables	Hombre
22	Purna 3L Jacket	The North Face 	144.00 €	240.00 €	/the-north-face-purna-3l-jacket/p-92565?idvariedad=375999&opt=d	Caquetas	Impermeables	Hombre
23	Kinetic Plus Jacket	Rab 	159.96 €	199.95 €	/rab-kinetic-plus-jacket/p-80336?idvariedad=321574&opt=d	Caquetas	Impermeables	Hombre
24	Galvanized Jacket	Patagonia 	224.04 €	350.00 €	/patagonia-galvanized-jacket/p-94949?idvariedad=386073&opt=d	Caquetas	Impermeables	Hombre
25	Beta AR Jacket	Arc'teryx 	440.00 €	550.00 €	/arcteryx-beta-ar-jacket/p-80264?idvariedad=321116&opt=d	Caquetas	Impermeables	Hombre
26	Keiryo Diad II Jacket	The North Face 	133.57 €	220.00 €	/the-north-face-keiryo-diad-ii-jacket/p-79754?idvariedad=319272&opt=d	Caquetas	Impermeables	Hombre
27	Venture 2 Jacket	The North Face 	111.65 €	140.00 €	/the-north-face-venture-2-jacket/p-79966?idvariedad=319748&opt=d	Caquetas	Impermeables	Hombre
28	Spitz Jacket	Haglöfs 	400.00 €	500.00 €	/haglofs-spitz-jacket/p-72357?idvariedad=292691&opt=d	Caquetas	Impermeables	Hombre
29	Stretch Rainshadow Jacket	Patagonia 	165.85 €	230.00 €	/patagonia-stretch-rainshadow-jacket/p-79445?idvariedad=316184&opt=d	Caquetas	Impermeables	Hombre
30	Beta AR Jacket	Arc'teryx 	550.00 €	550.00 €	/arcteryx-beta-ar-jacket/p-89635?idvariedad=366131&opt=d	Caquetas	Impermeables	Hombre
31	Squamish Cis Jacket	Helly Hansen 	113.97 €	189.95 €	/helly-hansen-squamish-cis-jacket/p-44033?idvariedad=238404&opt=d	Caquetas	Impermeables	Hombre
32	Downpour Jacket	Rab 	103.96 €	129.95 €	/rab-downpour-jacket/p-80363?idvariedad=321607&opt=d	Caquetas	Impermeables	Hombre
33	Alpha SL Jacket	Arc'teryx 	270.00 €	300.00 €	/arcteryx-alpha-sl-jacket/p-80289?idvariedad=321187&opt=d	Caquetas	Impermeables	Hombre
34	Manglar Jacket	Trangoworld 	237.90 €	339.90 €	/trangoworld-manglar-jacket/p-74631?idvariedad=299032&opt=d	Caquetas	Impermeables	Hombre
35	Norvan SL Hoody	Arc'teryx 	300.00 €	300.00 €	/arcteryx-norvan-sl-hoody/p-89623?idvariedad=366085&opt=d	Caquetas	Impermeables	Hombre
36	Beta AR Jacket	Arc'teryx 	440.00 €	550.00 €	/arcteryx-beta-ar-jacket/p-80214?idvariedad=320902&opt=d	Caquetas	Impermeables	Hombre
37	Beta LT Jacket	Arc'teryx 	306.45 €	500.00 €	/arcteryx-beta-lt-jacket/p-71235?idvariedad=287680&opt=d	Caquetas	Impermeables	Hombre
38	Keiryo Diad II Jacket	The North Face 	121.45 €	220.00 €	/the-north-face-keiryo-diad-ii-jacket/p-79796?idvariedad=319344&opt=d	Caquetas	Impermeables	Hombre
39	Torrentshell Jacket	Patagonia 	140.00 €	140.00 €	/patagonia-torrentshell-jacket/p-89691?idvariedad=366350&opt=d	Caquetas	Impermeables	Hombre
40	Magic 2.0 Jacket	Montura 	319.00 €	319.00 €	/montura-magic-2.0-jacket/p-94132?idvariedad=382802&opt=d	Caquetas	Impermeables	Hombre
41	Millerton Jacket	The North Face 	103.70 €	130.00 €	/the-north-face-millerton-jacket/p-79705?idvariedad=319204&opt=d	Caquetas	Impermeables	Hombre
42	Sideward Jacket	Crazy 	119.20 €	149.00 €	/crazy-sideward-jacket/p-95272?idvariedad=386965&opt=d	Caquetas	Impermeables	Hombre
43	Torrentshell Jacket	Patagonia 	101.00 €	140.00 €	/patagonia-torrentshell-jacket/p-79543?idvariedad=316948&opt=d	Caquetas	Impermeables	Hombre
44	Precip Jacket	Marmot 	71.54 €	100.00 €	/marmot-precip-jacket/p-42428?idvariedad=172186&opt=d	Caquetas	Impermeables	Hombre
45	Roc Spirit Jacket	Haglöfs 	360.00 €	450.00 €	/haglofs-roc-spirit-jacket/p-76761?idvariedad=306141&opt=d	Caquetas	Impermeables	Hombre
46	Alpha FL Jacket	Arc'teryx 	320.00 €	400.00 €	/arcteryx-alpha-fl-jacket/p-80088?idvariedad=320677&opt=d	Caquetas	Impermeables	Hombre
47	Gea 3 2X Jacket	Salewa 	156.00 €	260.00 €	/salewa-gea-3-2x-jacket/p-60087?idvariedad=242620&opt=d	Caquetas	Impermeables	Hombre
48	Alpha Sv Jacket	Arc'teryx 	600.00 €	750.00 €	/arcteryx-alpha-sv-jacket/p-58709?idvariedad=287734&opt=d	Caquetas	Impermeables	Hombre
49	Purna 2L Jacket	The North Face 	171.00 €	190.00 €	/the-north-face-purna-2l-jacket/p-92572?idvariedad=376034&opt=d	Caquetas	Impermeables	Hombre
50	Stratos Jacket	The North Face 	127.60 €	160.00 €	/the-north-face-stratos-jacket/p-79995?idvariedad=319913&opt=d	Caquetas	Impermeables	Hombre
51	Bonatti WP Jacket	Salomon 	153.00 €	170.00 €	/salomon-bonatti-wp-jacket/p-94268?idvariedad=383464&opt=d	Caquetas	Impermeables	Hombre
